Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
16 - 5,155,Evan McPherson,K,BHam Legion,138.85,8.17,88.0,7.33,12,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},68.51,D+
11 - 5,105,Browns D/ST,D/ST,Jim-a-sore-ass,137.81,8.11,70.0,4.12,17,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768},68.27,D+
4 - 1,31,Jaylen Waddle,WR,Trestleches,219.17,14.61,149.6,9.97,15,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},68.25,D+
15 - 4,144,Saints D/ST,D/ST,RAJUN CAJUN,116.17,6.83,66.0,3.88,17,{97ABA629-8E14-4D1F-95C6-919C4601753F},67.95,D+
7 - 1,61,Dalton Kincaid,TE,OAC PADS,172.22,11.48,100.8,7.75,13,{8EF83BEE-329B-4056-9953-F0E1B26AC099},67.4,D+
12 - 1,111,Zack Moss,RB,Trestleches,155.33,11.09,81.9,10.24,8,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},67.38,D+
7 - 7,67,Amari Cooper,WR,Did I Set My Lineup?,209.6,13.97,122.7,8.76,14,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},67.05,D+
11 - 2,102,Keon Coleman,WR,Team Date,169.97,11.33,111.5,8.58,13,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},67.02,D+
15 - 7,147,Rashid Shaheed,WR,Did I Set My Lineup?,158.99,10.6,79.8,11.4,7,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},66.53,D
13 - 5,125,Nick Chubb,RB,Jim-a-sore-ass,134.04,14.89,63.3,7.91,8,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768},66.41,D
13 - 7,127,Kirk Cousins,QB,Did I Set My Lineup?,250.92,16.73,176.32,12.59,14,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},66.16,D
13 - 3,123,Gus Edwards,RB,Django Achane'd,143.02,10.22,64.1,5.83,11,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},65.92,D
6 - 6,56,Stefon Diggs,WR,Jim-a-sore-ass,226.85,15.12,121.92,15.24,8,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768},65.2,D
6 - 5,55,Evan Engram,TE,BHam Legion,183.21,12.21,89.5,9.94,9,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},65.13,D
13 - 1,121,T.J. Hockenson,TE,OAC PADS,130.0,13.0,86.5,8.65,10,{8EF83BEE-329B-4056-9953-F0E1B26AC099},65.11,D
9 - 7,87,Christian Watson,WR,Did I Set My Lineup?,188.61,12.57,105.3,7.02,15,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},65.08,D
10 - 1,91,Raheem Mostert,RB,Trestleches,170.66,12.19,70.9,5.45,13,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},64.94,D
14 - 3,133,Trey Benson,RB,Masoud's Magnificent Team,123.65,8.83,47.0,3.62,13,{4385A6FE-E567-4B2D-974F-41AE8016A5C7},64.91,D
16 - 6,156,Trevor Lawrence,QB,Jim-a-sore-ass,249.08,16.61,145.2,14.52,10,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768},64.27,D
11 - 8,108,Ezekiel Elliott,RB,Masoud's Magnificent Team,160.42,11.46,57.5,3.83,15,{4385A6FE-E567-4B2D-974F-41AE8016A5C7},64.21,D
6 - 3,53,Anthony Richardson,QB,Masoud's Magnificent Team,275.89,18.39,163.36,14.85,11,{4385A6FE-E567-4B2D-974F-41AE8016A5C7},64.14,D
2 - 10,20,Travis Etienne Jr.,RB,OAC PADS,225.37,16.1,130.2,8.68,15,{8EF83BEE-329B-4056-9953-F0E1B26AC099},64.07,D
14 - 10,140,Curtis Samuel,WR,OAC PADS,166.57,11.1,63.7,4.55,14,{8EF83BEE-329B-4056-9953-F0E1B26AC099},64.02,D
8 - 4,74,Diontae Johnson,WR,Did I Set My Lineup?,208.5,13.9,89.1,7.42,12,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},62.55,D-
14 - 2,132,Ty Chandler,RB,Control Machete,137.1,9.79,28.4,1.67,17,{D60AD45E-EB1B-4E8E-BF07-8A41B8372244},62.18,D-
14 - 8,138,Gabe Davis,WR,Django Achane'd,170.83,11.39,53.9,5.39,10,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},61.35,D-
