Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,Owner ID
Pain Inflictors,80.28,B-,Game of Yards!,4,1574.92,1431.12,10-3-0,2019,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
Team HebAchi,80.28,B-,Game of Yards!,2,1749.4,1601.44,22-6-0,2024,{49094F84-F849-4173-B052-21E1CDEDB4EF}
Yangblood Bravesheart,80.23,B-,BP- Loudoun 2025,5,1976.58,1848.86,9-6-0,2025,{E2B51AC9-D133-4155-B51A-C9D133E155BA}
All my homies hate Dallas,80.22,B-,0755 Fantasy Football,4,1671.82,1631.78,8-6-0,2024,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
Steenage Mutant Ninja Turtles,80.17,B-,Philly Extra Special,5,1775.46,1726.06,6-7-1,2025,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
Toby's Favorite Employee,80.16,B-,RRR On Premise ,7,1578.4,1574.24,8-6-0,2023,{45D714CF-B0D8-49FA-9714-CFB0D859FAB7}
Pain Inflictors,80.02,B-,Game of Yards!,2,1551.78,1421.72,17-11-0,2023,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
Team HebAchi,80.02,B-,Game of Yards!,4,1790.16,1704.08,20-8-0,2025,{49094F84-F849-4173-B052-21E1CDEDB4EF}
Men in Tight(End)s,79.91,C+,The Girl's Room 💞🏈,14,1578.64,1531.64,7-8-0,2025,{337D12A9-D79A-4DBC-BD12-A9D79ACDBCEB}
Champagne  Papi ,79.88,C+,EBC League,2,1919.74,1750.16,8-6-0,2022,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
Wakanda Forever,79.65,C+,Game of Yards!,5,1429.38,1500.88,14-14-0,2023,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
I'm Batman,79.6,C+,0755 Fantasy Football,5,1602.8,1608.18,8-6-0,2025,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
BurgerBoyz,79.51,C+,Brown Munde,7,1570.74,1675.16,6-8-0,2023,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
I'm Batman,79.44,C+,0755 Fantasy Football,1,1738.84,1611.66,10-4-0,2024,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
Inter Miami CF,79.43,C+,EBC League,4,1833.12,1860.7,8-6-0,2023,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
