Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
5 - 2,42,Mark Andrews,TE,Team Amijaz,167.58,11.17,141.1,10.08,14,{E8084BA7-697B-4617-884B-A7697B7617C9},77.61,C+
8 - 1,71,Marquise Brown,WR,Fresh Prince  Of Hel-Aire,158.03,10.54,156.0,9.75,16,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},77.54,C+
4 - 4,34,Todd Gurley II,RB,Multiple Scoregasm,201.44,14.39,150.7,10.05,15,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},77.49,C+
15 - 3,143,Tony Pollard,RB,Team Vellapanti,89.46,6.39,107.7,6.73,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},77.42,C+
10 - 6,96,Harrison Butker,K,Bhambhwani Pawan Dilip,142.27,8.89,132.0,8.25,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},77.41,C+
12 - 9,119,Noah Fant,TE,Team Amijaz,119.13,7.94,118.3,7.89,15,{E8084BA7-697B-4617-884B-A7697B7617C9},77.32,C+
10 - 8,98,Wil Lutz,K,Team Vellapanti,136.78,8.55,130.0,8.12,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},77.08,C+
5 - 8,48,Cooper Kupp,WR,Wakanda Forever,176.35,11.76,164.2,10.95,15,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},76.99,C
9 - 7,87,Leonard Fournette,RB,Multiple Scoregasm,129.43,9.24,114.5,8.81,13,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},76.73,C
11 - 6,106,Hunter Henry,TE,Pain Inflictors,120.56,8.61,115.3,8.24,14,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},76.66,C
