Round,Team 1,Seed 1,Score 1,LPI 1,Total Points 1,Record 1,Team 2,Seed 2,Score 2,LPI 2,Total Points 2,Record 2,Winner,Year,League,File Name
Quarter Final,Killler jatt ,1,102.6,4,1640.04,11-3-0,Bye,-,-,-,-,-,Killler jatt ,2023,Brown Munde,leagues/Brown Munde 2023.xlsx
Quarter Final,Still Rollin',2,99.04,31,1706.28,10-4-0,Bye,-,-,-,-,-,Still Rollin',2023,Brown Munde,leagues/Brown Munde 2023.xlsx
Quarter Final,Team Padodara,3,130.56,34,1632.56,9-5-0,Eks Gonna Give It To Ya!,6,117.22,-7,1587.9,7-7-0,Team Padodara,2023,Brown Munde,leagues/Brown Munde 2023.xlsx
Quarter Final,NoHalfSends,4,102.22,34,1653.76,8-6-0,Green,5,99.22,-13,1478.98,8-6-0,NoHalfSends,2023,Brown Munde,leagues/Brown Munde 2023.xlsx
Semi Final,Killler jatt ,1,90.48,-1,1640.04,11-3-0,NoHalfSends,4,113.64,31,1653.76,8-6-0,NoHalfSends,2023,Brown Munde,leagues/Brown Munde 2023.xlsx
Semi Final,Still Rollin',2,164.58,38,1706.28,10-4-0,Team Padodara,3,148.36,38,1632.56,9-5-0,Still Rollin',2023,Brown Munde,leagues/Brown Munde 2023.xlsx
Championship,NoHalfSends,4,97.88,29,1653.76,8-6-0,Still Rollin',2,123.88,38,1706.28,10-4-0,Still Rollin',2023,Brown Munde,leagues/Brown Munde 2023.xlsx
Quarter Final,Still Rollin',1,151.2,19,1753.78,21-7-0,Bye,-,-,-,-,-,Still Rollin',2024,Brown Munde,leagues/Brown Munde 2024.xlsx
Quarter Final,Meet the Nabers,2,103.14,6,1675.78,17-11-0,Team BB,5,140.04,47,1782.94,16-12-0,Team BB,2024,Brown Munde,leagues/Brown Munde 2024.xlsx
Quarter Final,NoHalfSends,3,152.4,23,1622.7,19-9-0,Bye,-,-,-,-,-,NoHalfSends,2024,Brown Munde,leagues/Brown Munde 2024.xlsx
Quarter Final,Bhals,4,147.74,41,1744.32,17-11-0,THE BIGMADBLUE,6,165.18,17,1610.18,14-14-0,THE BIGMADBLUE,2024,Brown Munde,leagues/Brown Munde 2024.xlsx
