Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade
2 - 6,Garrett Wilson,WR,Maid of Honor,211.34,14.09,158.7,12.21,13,57.01522117083567
9 - 1,49ers D/ST,D/ST,the   jadey bunch,127.76,7.52,91.0,7.0,13,56.69623231645662
11 - 5,Justin Tucker,K,Terrell Suggs to be you,141.89,8.35,104.0,8.0,13,56.647779619650656
1 - 3,CeeDee Lamb,WR,Wu-Tangs Killabeez,260.3,17.35,176.8,13.6,13,56.37664095002791
12 - 8,Matt Gay,K,Peter Pan + the Lost Boys ,126.78,8.45,95.0,7.92,12,55.89488373753969
4 - 11,Kenneth Walker III,RB,Dirty Tone and  The Boys,197.1,14.08,148.3,14.83,10,55.67718740998137
4 - 14,Mark Andrews,TE,the   jadey bunch,153.14,10.21,112.9,8.68,13,55.373459733041436
7 - 9,George Pickens,WR,Maid of Honor,173.73,11.58,127.9,10.66,12,55.21853813397712
1 - 9,Patrick Mahomes,QB,Maid of Honor,307.68,20.51,217.06,16.7,13,54.866942657819834
10 - 8,Austin Ekeler,RB,Peter Pan + the Lost Boys ,148.78,10.63,110.6,10.05,11,54.7663018604758
4 - 3,Travis Kelce,TE,Team Rodriguez,167.74,11.18,118.3,9.1,13,54.483677557684864
3 - 12,Nico Collins,WR,Team Rodriguez,190.63,12.71,131.7,16.46,8,54.453581442518384
9 - 8,DeAndre Hopkins,WR,It HURTS being an Eagles fan ,145.01,10.36,105.5,8.12,13,54.046020147069676
8 - 5,Xavier Worthy,WR,Toon Squad,148.04,9.87,105.2,8.09,13,53.99569971513564
6 - 7,Aaron Rodgers,QB,It HURTS being an Eagles fan ,265.24,17.68,188.24,14.48,13,53.934189652526605
14 - 2,Romeo Doubs,WR,The Upside Down,110.82,7.39,77.3,7.73,10,53.555431208091285
3 - 14,Tua Tagovailoa,QB,The  Dream crusher,240.5,16.03,165.24,18.36,9,53.276922714959554
2 - 9,Marvin Harrison Jr.,WR,sports,186.72,12.45,128.0,9.85,13,53.01790988087771
6 - 10,Chris Godwin,WR,Terrell Suggs to be you,173.33,11.56,112.8,16.11,7,52.98849158115492
