Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,LPI,Pick Number,First Pick Points,Top Two Pick Points,Top Four Pick Points,Number of A Grades
Maid of Honor,71.56,C-,THE BEST OF THE BEST,5.0,1259.32,1169.22,10-4-0,2022.0,-66.0,1,132.4,316.3,593.0,2.0
lawrence's Loud Team,71.55,C-,Family Fantasy,7.0,1478.74,1501.94,8-6-0,2024.0,-22.0,1,47.8,426.84000000000003,744.16,3.0
Philadelphia British Army,71.47,C-,Pennoni Younglings,1.0,1482.64,1367.84,8-6-0,2022.0,1.0,6,286.26,534.36,1078.68,3.0
Chicken Fried Chicken Meal,71.43,C-,0755 Fantasy Football,9.0,1603.72,1708.64,6-8-0,2024.0,-46.0,2,341.7,678.0999999999999,953.6199999999999,3.0
Muqaddar Ka Sikandar,71.38,C-,Game of Yards!,9.0,1341.28,1650.04,4-10-0,2021.0,-32.0,2,189.3,244.9,517.2,0.0
Saving Private Ryan,71.38,C-,THE BEST OF THE BEST,12.0,1300.58,1432.3,4-10-0,2022.0,-15.0,3,319.2,486.2,821.4,1.0
Rizzo's Crash Test Dummy,71.38,C-,Pennoni Younglings,8.0,1431.64,1428.6,6-8-0,2022.0,-2.0,10,197.9,460.5,720.1,1.0
"All Barkley, No Bite",71.36,C-,Brown Munde,8.0,1323.6,1523.1,6-22-0,2024.0,-62.0,7,220.9,566.8,977.4,1.0
Bear Down,71.32,C-,RRR On Premise,,,,,,,,,,,
Dennis The Menace ,71.31,C-,RRR On Premise,,,,,,,9,262.8,550.7,1039.2,0.0
Breece’s  Pieces,71.3,C-,THE BEST OF THE BEST,8.0,1430.86,1425.08,8-6-0,2022.0,19.0,7,198.9,418.0,585.2,1.0
Stiff Armed and Dangerous,71.3,C-,Game of Yards!,2.0,1598.32,1399.44,10-4-0,2022.0,24.0,5,286.76,534.86,1095.28,2.0
Team Vellapanti,71.19,C-,Game of Yards!,5.0,1709.92,1598.22,7-7-0,2020.0,37.0,9,308.8,518.4,880.4,1.0
BurgerBoyz,71.15,C-,Brown Munde,9.0,1419.1,1503.12,8-20-0,2024.0,-59.0,1,40.3,103.0,576.92,4.0
Bryson Stott Fan Club,71.06,C-,EBC League,3.0,1652.7,1708.06,6-8-0,2024.0,18.0,4,341.7,704.5999999999999,1226.6999999999998,5.0
MPT Phase Tua,71.06,C-,0755 Fantasy Football,8.0,1301.06,1267.5,6-7-0,2023.0,-10.0,3,159.9,352.3,801.94,1.0
