Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
4 - 13,55,Caleb Williams,QB,Crazy Kat,252.19,16.81,204.34,15.72,13,81.36,B-,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
7 - 14,98,Ladd McConkey,WR,The  Dream crusher,146.12,9.74,134.5,11.21,12,81.31,B-,{600C56A6-5DB0-42B1-8C56-A65DB022B176}
14 - 6,188,Lions D/ST,D/ST,Maid of Honor,106.71,6.28,99.0,7.62,13,81.3,B-,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
3 - 7,35,Kyler Murray,QB,Peter Pan + the Lost Boys ,264.09,17.61,222.88,17.14,13,81.29,B-,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
5 - 10,66,Matthew Stafford,QB,Toon Squad,240.5,16.03,199.42,14.24,14,81.24,B-,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
10 - 4,130,David Njoku,TE,Taco Tuesday Everyday,138.68,9.25,105.9,10.59,10,81.23,B-,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
9 - 14,126,Jakobi Meyers,WR,The  Dream crusher,138.81,9.25,123.6,11.24,11,81.05,B-,{600C56A6-5DB0-42B1-8C56-A65DB022B176}
1 - 3,3,CeeDee Lamb,WR,Wu-Tangs Killabeez,260.3,17.35,176.8,13.6,13,81.05,B-,{8BED9748-9839-4F55-AD97-4898394F5553}
4 - 11,53,Kenneth Walker III,RB,Dirty Tone and  The Boys,197.1,14.08,148.3,14.83,10,80.57,B-,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
3 - 5,33,Brock Purdy,QB,Terrell Suggs to be you,259.3,17.29,215.46,16.57,13,80.29,B-,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B}
14 - 1,183,Taysom Hill,TE,The  Dream crusher,110.48,7.37,90.84,11.36,8,80.14,B-,{600C56A6-5DB0-42B1-8C56-A65DB022B176}
