Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
9 - 4,84,Tyler Boyd,WR,Team BIGMADBLUE,156.34,10.42,154.64,10.31,15,71.49,C-,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
13 - 6,126,Saints D/ST,D/ST,Pain Inflictors,118.32,7.39,123.0,7.69,16,71.32,C-,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
10 - 8,98,Wil Lutz,K,Team Vellapanti,136.78,8.55,130.0,8.12,16,71.23,C-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
7 - 8,68,Michael Gallup,WR,Wakanda Forever,168.53,11.24,144.3,9.02,16,71.01,C-,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
2 - 6,16,Julio Jones,WR,Bhambhwani Pawan Dilip,209.26,13.95,121.1,13.46,9,70.88,C-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
8 - 9,79,DJ Chark Jr.,WR,Team Amijaz,169.2,11.28,128.6,9.89,13,70.58,C-,{E8084BA7-697B-4617-884B-A7697B7617C9}
13 - 3,123,Emmanuel Sanders,WR,Team Vellapanti,139.6,9.31,134.3,9.59,14,70.57,C-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
7 - 10,70,T.Y. Hilton,WR,Fresh Prince  Of Hel-Aire,177.16,12.65,136.7,9.11,15,69.78,D+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
12 - 2,112,Matt Prater,K,Muqaddar Ka Sikandar,130.05,8.13,110.0,6.88,16,69.42,D+,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
17 - 2,162,Robbie Gould,K,Team Amijaz,126.21,7.89,102.0,6.8,15,69.24,D+,{E8084BA7-697B-4617-884B-A7697B7617C9}
12 - 4,114,Bills D/ST,D/ST,Multiple Scoregasm,140.27,8.77,101.0,6.31,16,69.17,D+,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
15 - 7,147,Jonnu Smith,TE,Multiple Scoregasm,92.91,6.19,119.7,7.98,15,68.42,D+,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
2 - 8,18,Joe Mixon,RB,Team Vellapanti,210.63,15.04,89.1,14.85,6,68.36,D+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
5 - 9,49,Jared Cook,TE,Muqaddar Ka Sikandar,127.28,8.49,109.4,7.29,15,68.19,D+,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
15 - 8,148,Buccaneers D/ST,D/ST,Wakanda Forever,110.98,6.94,115.0,7.19,16,67.89,D+,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
12 - 6,116,Patriots D/ST,D/ST,Bhambhwani Pawan Dilip,122.77,7.67,97.0,6.06,16,67.79,D+,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
7 - 1,61,Raheem Mostert,RB,Team TitBit,152.16,10.87,94.7,11.84,8,67.76,D+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
6 - 8,58,Sterling Shepard,WR,Team Vellapanti,160.83,10.72,129.5,10.79,12,67.61,D+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
8 - 3,73,Tyler Higbee,TE,Wakanda Forever,130.81,8.72,106.2,7.08,15,67.37,D+,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
15 - 1,141,Christian Kirk,WR,Team TitBit,144.65,9.64,125.4,8.96,14,67.33,D+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
16 - 8,158,Jimmy Graham,TE,Team Vellapanti,89.18,5.95,118.6,7.41,16,66.97,D,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
7 - 7,67,Evan Engram,TE,Multiple Scoregasm,135.12,9.65,109.5,6.84,16,66.87,D,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
11 - 6,106,Hunter Henry,TE,Pain Inflictors,120.56,8.61,115.3,8.24,14,66.56,D,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
9 - 2,82,Devin Singletary,RB,Team Amijaz,154.48,11.03,126.1,7.88,16,66.49,D,{E8084BA7-697B-4617-884B-A7697B7617C9}
11 - 4,104,Latavius Murray,RB,Team BIGMADBLUE,119.69,8.55,124.7,8.31,15,66.06,D,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
17 - 6,166,Eagles D/ST,D/ST,Pain Inflictors,97.81,6.11,89.0,5.56,16,65.9,D,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
14 - 7,137,Eric Ebron,TE,Team BIGMADBLUE,95.72,6.38,113.8,7.59,15,65.53,D,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
4 - 3,33,Odell Beckham Jr.,WR,Wakanda Forever,180.59,12.04,77.32,11.05,7,65.38,D,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
9 - 7,87,Leonard Fournette,RB,Multiple Scoregasm,129.43,9.24,114.5,8.81,13,64.81,D,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
13 - 7,127,Chris Boswell,K,Multiple Scoregasm,125.87,7.87,99.0,7.62,13,63.55,D,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
14 - 2,132,Dallas Goedert,TE,Muqaddar Ka Sikandar,100.25,6.68,93.4,8.49,11,62.61,D-,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
13 - 1,121,Mecole Hardman,WR,Team TitBit,62.49,4.17,108.1,6.76,16,62.61,D-,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
13 - 9,129,Chiefs D/ST,D/ST,Muqaddar Ka Sikandar,85.47,5.34,93.0,5.81,16,62.43,D-,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
15 - 3,143,Tony Pollard,RB,Team Vellapanti,89.46,6.39,107.7,6.73,16,62.38,D-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
