Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
11 - 2,122,Adam Thielen,WR,Skibidi Rizzlers,171.4,11.43,139.5,13.95,10,75.23,C,{88877912-82AE-408B-9AD4-17D54F48BACA}
16 - 7,187,Xavier Legette,WR,Numb Nutz - CHAMP,131.86,8.79,125.1,7.82,16,74.98,C,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
3 - 2,26,DK Metcalf,WR,Skibidi Rizzlers,224.9,14.99,191.2,12.75,15,74.9,C,{88877912-82AE-408B-9AD4-17D54F48BACA}
1 - 3,3,Tyreek Hill,WR,SIGMAS,298.89,19.93,218.2,12.84,17,74.79,C,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
2 - 6,18,Marvin Harrison Jr.,WR,Breece Hall Sucks,227.94,15.2,196.5,11.56,17,74.67,C,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
5 - 5,53,C.J. Stroud,QB,For Me to Poop on,276.58,18.44,220.38,12.96,17,74.24,C,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
3 - 12,36,Sam LaPorta,TE,Tortured Football Department,209.78,13.99,174.6,10.91,16,74.2,C,{8F726947-16B6-4023-8839-58DD00CD6659}
16 - 1,181,Bengals D/ST,D/ST,Tortured Football Department,115.76,6.81,93.0,5.47,17,74.15,C,{8F726947-16B6-4023-8839-58DD00CD6659}
13 - 9,153,Tyler Conklin,TE,Rizzly Bears,128.46,8.56,121.9,7.62,16,74.11,C,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
7 - 2,74,Chris Godwin,WR,Skibidi Rizzlers,214.03,14.27,137.8,19.69,7,73.83,C,{88877912-82AE-408B-9AD4-17D54F48BACA}
6 - 10,70,Brian Robinson Jr.,RB,SIGMAS,178.79,12.77,159.8,11.41,14,73.74,C,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
3 - 3,27,Cooper Kupp,WR,SIGMAS,217.96,14.53,175.0,14.58,12,73.65,C,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
16 - 2,182,Jake Moody,K,Your Mom,138.58,8.15,108.0,7.71,14,73.63,C,{F1F84656-65C6-418D-85EB-A941DF949C09}
11 - 5,125,Jerome Ford,RB,For Me to Poop on,142.8,10.2,134.0,9.57,14,73.5,C,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
10 - 1,109,Ravens D/ST,D/ST,Tortured Football Department,129.63,7.63,106.0,6.24,17,73.36,C,{8F726947-16B6-4023-8839-58DD00CD6659}
15 - 4,172,Justin Fields,QB,Gabe's Grand Team,89.65,17.93,119.14,11.91,10,73.07,C,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
14 - 11,167,Dalton Schultz,TE,Skibidi Rizzlers,133.13,8.88,118.2,6.95,17,73.02,C,{88877912-82AE-408B-9AD4-17D54F48BACA}
6 - 12,72,George Pickens,WR,lawrence's Loud Team,208.97,13.93,164.4,11.74,14,72.76,C-,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
11 - 12,132,Kirk Cousins,QB,Tortured Football Department,250.92,16.73,176.32,12.59,14,72.48,C-,{8F726947-16B6-4023-8839-58DD00CD6659}
14 - 2,158,Michael Wilson,WR,Your Mom,141.98,9.47,124.5,7.78,16,72.22,C-,{F1F84656-65C6-418D-85EB-A941DF949C09}
16 - 4,184,Cairo Santos,K,Rizzly Bears,137.1,8.06,105.0,6.18,17,72.17,C-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
12 - 8,140,Chig Okonkwo,TE,For Me to Poop on,118.41,7.89,113.6,6.68,17,72.1,C-,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
7 - 4,76,Javonte Williams,RB,Gabe's Grand Team,185.2,13.23,157.9,9.29,17,72.04,C-,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
16 - 6,186,Braelon Allen,RB,Breece Hall Sucks,75.42,5.39,85.2,5.01,17,71.71,C-,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
16 - 9,189,Dontayvion Wicks,WR,Gabe's Grand Team,125.82,8.39,110.5,6.5,17,71.63,C-,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
11 - 1,121,Younghoe Koo,K,lawrence's Loud Team,137.08,8.06,111.0,7.93,14,71.58,C-,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
9 - 2,98,DeAndre Hopkins,WR,Skibidi Rizzlers,177.87,12.7,147.0,9.19,16,71.1,C-,{88877912-82AE-408B-9AD4-17D54F48BACA}
14 - 3,159,Dolphins D/ST,D/ST,Oh My Josh,116.75,6.87,86.0,5.06,17,70.41,C-,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
8 - 4,88,Rome Odunze,WR,Rizzly Bears,175.21,11.68,144.9,8.52,17,70.41,C-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
8 - 11,95,Austin Ekeler,RB,Skibidi Rizzlers,173.46,12.39,132.3,11.03,12,69.61,D+,{88877912-82AE-408B-9AD4-17D54F48BACA}
11 - 7,127,Cowboys D/ST,D/ST,Breece Hall Sucks,131.5,7.74,92.0,5.41,17,69.3,D+,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
4 - 1,37,Michael Pittman Jr.,WR,Tortured Football Department,230.91,15.39,165.8,10.36,16,69.13,D+,{8F726947-16B6-4023-8839-58DD00CD6659}
7 - 10,82,Kyle Pitts,TE,Oh My Josh,167.16,11.14,131.2,7.72,17,68.83,D+,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
16 - 3,183,Miles Sanders,RB,Oh My Josh,86.51,6.18,77.3,7.03,11,68.62,D+,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
11 - 9,129,Jets D/ST,D/ST,Rizzly Bears,130.8,7.69,89.0,5.24,17,68.43,D+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
11 - 3,123,Trevor Lawrence,QB,SIGMAS,249.08,16.61,145.2,14.52,10,68.27,D+,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
12 - 11,143,Harrison Butker,K,Skibidi Rizzlers,146.59,8.62,96.0,7.38,13,67.36,D+,{88877912-82AE-408B-9AD4-17D54F48BACA}
11 - 6,126,49ers D/ST,D/ST,Numb Nutz - CHAMP,127.76,7.52,84.0,4.94,17,66.72,D,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
13 - 12,156,Evan McPherson,K,Tortured Football Department,138.85,8.17,88.0,7.33,12,66.58,D,{8F726947-16B6-4023-8839-58DD00CD6659}
15 - 2,170,Antonio Gibson,RB,Skibidi Rizzlers,141.85,10.91,103.4,6.08,17,66.54,D,{88877912-82AE-408B-9AD4-17D54F48BACA}
4 - 5,41,Jaylen Waddle,WR,Golden Receivers,219.17,14.61,149.6,9.97,15,66.52,D,{4656A2AD-A939-460B-96A2-ADA939760B8B}
6 - 9,69,Tank Dell,WR,Gabe's Grand Team,211.88,14.13,140.0,10.0,14,66.51,D,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
3 - 7,31,Deebo Samuel Sr.,WR,Breece Hall Sucks,221.23,15.8,153.6,10.24,15,66.44,D,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
5 - 4,52,Anthony Richardson,QB,Gabe's Grand Team,275.89,18.39,163.36,14.85,11,66.24,D,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
9 - 8,104,Jaylen Warren,RB,Golden Receivers,177.64,12.69,124.1,8.27,15,66.24,D,{4656A2AD-A939-460B-96A2-ADA939760B8B}
