Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
6 - 8,58,C.J. Stroud,QB,I'm Batman,276.58,18.44,220.38,12.96,17,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},70.22,C-
14 - 7,137,Dalton Schultz,TE,Division iPad,133.13,8.88,118.2,6.95,17,{A279F58E-795F-4115-B9F5-8E795F7115FC},70.21,C-
16 - 6,156,Joshua Palmer,WR,It's Britney's Bench,168.28,11.22,107.4,7.16,15,{30B3E10C-D363-4E74-8961-7D4829DE152A},70.18,C-
8 - 3,73,Tank Dell,WR,Dak Stinks,211.88,14.13,140.0,10.0,14,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},70.07,C-
13 - 5,125,Cowboys D/ST,D/ST,It's Britney's Bench,145.67,8.57,97.0,5.71,17,{30B3E10C-D363-4E74-8961-7D4829DE152A},69.92,D+
7 - 9,69,Chris Godwin,WR,Patrick's Stars,214.03,14.27,137.8,19.69,7,{99C913F4-1FF6-4361-93D2-117EA19F759C},69.73,D+
15 - 5,145,Jake Moody,K,It's Britney's Bench,128.14,7.54,97.0,6.93,14,{30B3E10C-D363-4E74-8961-7D4829DE152A},69.57,D+
10 - 2,92,Jets D/ST,D/ST,Patrick's Stars,146.23,8.6,98.0,5.76,17,{99C913F4-1FF6-4361-93D2-117EA19F759C},69.4,D+
16 - 8,158,Dolphins D/ST,D/ST,I'm Batman,130.96,7.7,94.0,5.53,17,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},69.39,D+
5 - 6,46,Jaylen Waddle,WR,3rd World Immigrant,219.17,14.61,149.6,9.97,15,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},69.29,D+
12 - 8,118,Tyler Lockett,WR,I'm Batman,170.33,12.17,121.0,7.12,17,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},69.13,D+
11 - 8,108,Devin Singletary,RB,Dak Stinks,168.32,12.02,96.6,6.44,15,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},69.03,D+
12 - 6,116,Zack Moss,RB,It's Britney's Bench,155.33,11.09,81.9,10.24,8,{30B3E10C-D363-4E74-8961-7D4829DE152A},68.55,D+
15 - 9,149,Kirk Cousins,QB,Patrick's Stars,250.92,16.73,176.32,12.59,14,{99C913F4-1FF6-4361-93D2-117EA19F759C},68.46,D+
3 - 2,22,Deebo Samuel Sr.,WR,Chicken Fried Chicken Meal,221.23,15.8,153.6,10.24,15,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},68.42,D+
8 - 10,80,Tyjae Spears,RB,Metcalves of Steele,175.41,12.53,113.6,9.47,12,{5E530C03-3F19-48F0-A309-52B769E76347},67.93,D+
8 - 4,74,Amari Cooper,WR,Olave Another,209.6,13.97,122.7,8.76,14,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},67.79,D+
10 - 3,93,Jake Ferguson,TE,Dak Stinks,165.68,11.05,104.4,7.46,14,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},67.31,D+
11 - 2,102,Dallas Goedert,TE,Chicken Fried Chicken Meal,152.14,10.14,103.6,10.36,10,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},67.15,D+
11 - 10,110,49ers D/ST,D/ST,All my homies hate Dallas,142.99,8.41,87.0,5.12,17,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},67.12,D+
12 - 9,119,Harrison Butker,K,Chicken Fried Chicken Meal,140.64,8.27,91.0,7.0,13,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},66.85,D
16 - 3,153,Evan McPherson,K,Dak Stinks,132.18,7.78,83.0,6.92,12,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},66.69,D
10 - 6,96,Keon Coleman,WR,It's Britney's Bench,169.97,11.33,111.5,8.58,13,{30B3E10C-D363-4E74-8961-7D4829DE152A},66.69,D
13 - 2,122,Gus Edwards,RB,Chicken Fried Chicken Meal,143.02,10.22,64.1,5.83,11,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},66.45,D
12 - 1,111,Tua Tagovailoa,QB,All my homies hate Dallas,240.5,16.03,181.58,16.51,11,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},66.12,D
15 - 7,147,Trey Benson,RB,Olave Another,123.65,8.83,47.0,3.62,13,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},64.84,D
11 - 3,103,Nick Chubb,RB,I'm Batman,134.04,14.89,63.3,7.91,8,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},64.76,D
14 - 5,135,Saints D/ST,D/ST,3rd World Immigrant,129.75,7.63,78.0,4.59,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},64.65,D
