Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
12 - 12,166,Woody Marks,RB,Dirty Tone and  The Boys,61.54,3.62,133.3,8.89,15,75.31,C,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
11 - 13,153,Chase McLaughlin,K,Crazy Kat,147.01,8.65,140.0,8.75,16,75.03,C,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
9 - 8,120,Tyler Warren,TE,Febreze Brothers,133.69,7.86,145.4,9.09,16,75.01,C,{A8781626-DB52-4D55-B816-26DB528D55B6}
9 - 12,124,Zach Charbonnet,RB,Toon Squad,122.04,7.18,154.2,10.28,15,74.99,C,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
9 - 9,121,Jauan Jennings,WR,The Upside Down,157.65,9.27,140.3,10.02,14,74.98,C,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
13 - 9,177,Romeo Doubs,WR,The Upside Down,103.18,6.07,137.9,8.62,16,74.92,C,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
3 - 8,36,Omarion Hampton,RB,Febreze Brothers,239.01,14.06,119.7,13.3,9,74.71,C,{A8781626-DB52-4D55-B816-26DB528D55B6}
12 - 1,155,Bills D/ST,D/ST,Michael's Monstrous Team,133.28,7.84,126.0,7.88,16,74.7,C,{7EB13D07-3786-475B-8AE7-B42DB70413CD}
5 - 11,67,DJ Moore,WR,the   jadey bunch,193.93,11.41,143.58,8.97,16,74.7,C,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
7 - 4,88,Tua Tagovailoa,QB,Team Rodriguez,275.91,16.23,160.7,11.48,14,74.68,C,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
6 - 1,71,Rome Odunze,WR,Michael's Monstrous Team,181.31,10.67,124.1,10.34,12,74.53,C,{7EB13D07-3786-475B-8AE7-B42DB70413CD}
13 - 8,176,Tyler Loop,K,Febreze Brothers,140.26,8.25,134.0,8.38,16,74.25,C,{A8781626-DB52-4D55-B816-26DB528D55B6}
5 - 2,58,David Montgomery,RB,Chasing Flowers,195.38,11.49,148.92,9.31,16,74.03,C,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
13 - 10,178,Evan McPherson,K,Wu-Tangs Killabeez,132.57,7.8,133.0,8.31,16,73.9,C,{8BED9748-9839-4F55-AD97-4898394F5553}
10 - 10,136,Tucker Kraft,TE,Ertz When I Pee,128.4,7.55,101.2,12.65,8,73.71,C,{F3D1384A-36F5-4EFA-B444-3241073A1940}
12 - 8,162,Chargers D/ST,D/ST,Peter Pan + the Lost Boys ,112.42,6.61,123.0,7.69,16,73.62,C,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
