Round,Team 1,Seed 1,Score 1,LPI 1,Total Points 1,Record 1,Team 2,Seed 2,Score 2,LPI 2,Total Points 2,Record 2,Winner,Year,League,File Name
Quarter Final,Tortured Cheerleaders Departmnt,3,133.42,22,1676.84,9-5-0,Gabe's Grand Team,6,125.48,-3,1450.04,8-6-0,Tortured Cheerleaders Departmnt,2025,Family Fantasy,Family Fantasy 2025.xlsx
Quarter Final,Oh My Josh,4,140.28,33,1767.62,8-6-0,67 Big Backs,5,125.3,40,1746.84,8-6-0,Oh My Josh,2025,Family Fantasy,Family Fantasy 2025.xlsx
Semi Final,Skibidi Rizzlers,1,158.7,53,1763.4,11-3-0,Oh My Josh,4,122.8,38,1767.62,8-6-0,Skibidi Rizzlers,2025,Family Fantasy,Family Fantasy 2025.xlsx
Semi Final,For Me to Poop on,7,125.2,16,1599.36,6-8-0,Tortured Cheerleaders Departmnt,3,99.7,19,1676.84,9-5-0,For Me to Poop on,2025,Family Fantasy,Family Fantasy 2025.xlsx
Championship,Skibidi Rizzlers,1,152.28,63,1763.4,11-3-0,For Me to Poop on,7,125.22,24,1599.36,6-8-0,Skibidi Rizzlers,2025,Family Fantasy,Family Fantasy 2025.xlsx
Quarter Final,All Barkley No Bite,1,82.7,0,1628.06,11-2-0,Bye,-,-,-,-,-,All Barkley No Bite,2019,Game of Yards!,Game of Yards! 2019.xlsx
Quarter Final,Pain Inflictors,2,90.06,32,1664.98,10-3-0,Bye,-,-,-,-,-,Pain Inflictors,2019,Game of Yards!,Game of Yards! 2019.xlsx
Quarter Final,Team Vellapanti,3,94.58,20,1561.8,8-5-0,Team BIGMADBLUE,6,166.4,13,1600.68,6-7-0,Team BIGMADBLUE,2019,Game of Yards!,Game of Yards! 2019.xlsx
Quarter Final,Multiple Scoregasm,4,118.3,-10,1489.52,7-6-0,Team TitBit,5,116.06,-36,1423.04,6-7-0,Multiple Scoregasm,2019,Game of Yards!,Game of Yards! 2019.xlsx
Semi Final,All Barkley No Bite,1,105.94,-4,1628.06,11-2-0,Multiple Scoregasm,4,119.64,-11,1489.52,7-6-0,Multiple Scoregasm,2019,Game of Yards!,Game of Yards! 2019.xlsx
Semi Final,Pain Inflictors,2,131.5,40,1664.98,10-3-0,Team BIGMADBLUE,6,149.98,23,1600.68,6-7-0,Team BIGMADBLUE,2019,Game of Yards!,Game of Yards! 2019.xlsx
Championship,Multiple Scoregasm,4,140.66,-6,1489.52,7-6-0,Team BIGMADBLUE,6,109.82,25,1600.68,6-7-0,Multiple Scoregasm,2019,Game of Yards!,Game of Yards! 2019.xlsx
Quarter Final,Team TitBit,1,108.44,10,1621.700000000001,9-5-0,Bye,-,-,-,-,-,Team TitBit,2020,Game of Yards!,Game of Yards! 2020.xlsx
Quarter Final,Wakanda Forever,2,104.44,-7,1591.16,9-5-0,Bye,-,-,-,-,-,Wakanda Forever,2020,Game of Yards!,Game of Yards! 2020.xlsx
Quarter Final,Team BIGMADBLUE,3,145.86,41,1703.36,8-6-0,Team Vellapanti,6,116,38,1709.92,7-7-0,Team BIGMADBLUE,2020,Game of Yards!,Game of Yards! 2020.xlsx
Quarter Final,Multiple Scoregasm,4,104.42,-4,1565.54,8-6-0,Team Amijaz,5,116.92,41,1738.76,7-7-0,Team Amijaz,2020,Game of Yards!,Game of Yards! 2020.xlsx
